YEAR,LOCATION,AREA,RAINFALL,TEMPERATURE,SOIL_TYPE,IRRIGATION,YEILDS,HUMIDITY,CROPS,PRICE,SEASON,YEAR_GROUP,RAINFALL_GROUPS
2011,Madikeri,41626,256.3,171,Black,Drip,3550,59.5,Pepper,216396,Kharif,Y2,Low
2012,Madikeri,143,257.4,172,Alluvial,Basin,109,55,Pepper,2644,Kharif,Y2,Low
2013,Madikeri,8686,257.4,173,Alluvial,Basin,3368,53,Pepper,44235,Kharif,Y2,Low
2014,Madikeri,41884,257.4,174,Alluvial,Basin,3671,53.5,Pepper,203317,Kharif,Y2,Low
2011,Hassan,7,259.6,27,Red laterite,Spray,1533,59.5,Paddy,2644,Kharif,Y2,Low
2012,Hassan,17,259.6,27,Red laterite,Spray,1647,55,Paddy,44235,Kharif,Y2,Low
2016,Gulbarga,67,356.4,131,Red,Drip,22,57,Cocoa,57259,Zaid,Y3,Low
2018,Gulbarga,14,358.6,133,Red,Drip,4,60,Cocoa,1493,Zaid,Y3,Low
2018,Madikeri,130,259.6,178,Alluvial,Basin,2088,57.5,Pepper,1516,Kharif,Y3,Low
2017,Hassan,5,256.3,222,Red laterite,Spray,864,57,Tea,761,Kharif,Y3,Low
2018,Hassan,13,256.3,27,Red laterite,Spray,5373,60,Tea,45608,Kharif,Y3,Low
2004,Mangalore,1036,3193.41,27,Alluvial,Drip,2570,57,Coconut,200000,Kharif,Y1,High
2004,Mangalore,10760,3193.41,27,Alluvial,Drip,27170,57.5,Coconut,4847,Kharif,Y1,High
2004,Mangalore,42216,3193.41,27,Alluvial,Drip,114744,57,Coconut,51239,Kharif,Y1,High
2004,Mangalore,588,3296.26,27,Alluvial,Drip,1402,55,Coconut,216396,Kharif,Y1,High
2004,Mangalore,10437,3296.26,27,Alluvial,Drip,23456,56,Coconut,2644,Kharif,Y1,High
2004,Mangalore,41455,3296.26,27,Alluvial,Drip,107809,54,Coconut,44235,Kharif,Y1,High
2004,Mangalore,379,3875.08,27.2,Alluvial,Drip,1132,58,Coconut,203317,Kharif,Y1,High
2004,Mangalore,9591,3875.08,27.2,Alluvial,Drip,23960,58,Coconut,2134,Kharif,Y1,High
2004,Mangalore,41290,3875.08,27.2,Alluvial,Drip,126487,59,Coconut,45186,Kharif,Y1,High
2004,Mangalore,167,4102.78,27,Alluvial,Drip,804,50,Coconut,238542,Kharif,Y1,High
2004,Mangalore,8847,4102.78,27,Alluvial,Drip,30362,54,Coconut,1516,Kharif,Y1,High
2004,Mangalore,41626,4102.78,27,Alluvial,Drip,124492,53,Coconut,57259,Kharif,Y1,High
2004,Mangalore,143,3020.82,27,Alluvial,Drip,792,52,Coconut,234779,Kharif,Y1,High
2004,Mangalore,8686,3020.82,27,Alluvial,Drip,34153,51,Coconut,1493,Kharif,Y1,High
2004,Kodagu,41884,3020.82,27,Alluvial,Drip,132551,57,Coconut,64409,Kharif,Y1,High
2004,Kodagu,118,3696,27.2,Alluvial,Drip,338,57,Coconut,249978,Kharif,Y1,High
2004,Kodagu,8837,3696,27.2,Alluvial,Drip,22966,60,Coconut,637,Kharif,Y1,High
2004,Kodagu,41598,3696,27.2,Alluvial,Drip,131763,57,Coconut,43311,Kharif,Y1,High
2004,Kodagu,130,3965.94,27.1,Alluvial,Drip,404,57,Coconut,24848,Kharif,Y1,High
2004,Kodagu,8839,3965.94,27.1,Alluvial,Drip,24184,54,Coconut,761,Kharif,Y1,High
2004,Kodagu,41596,3965.94,27.1,Alluvial,Drip,124387,54.5,Coconut,45608,Kharif,Y1,High
2004,Kodagu,115,3863.64,26.8,Alluvial,Drip,343,56.6,Coconut,234581,Kharif,Y1,High
2004,Kodagu,8510,3863.64,26.8,Alluvial,Drip,23099,55.5,Coconut,646,Kharif,Y1,High
2004,Kodagu,41342,3863.64,26.8,Alluvial,Drip,117826,58.5,Coconut,43562,Kharif,Y1,High
2004,Kodagu,125,3625.6,37,Alluvial,Drip,336,59.5,Coconut,200000,Kharif,Y1,High
2004,Kodagu,8357,3625.6,37,Alluvial,Drip,22594,55,Coconut,4847,Kharif,Y1,High
2004,Kodagu,38948,3625.6,37,Alluvial,Drip,116481,53,Coconut,51239,Kharif,Y1,High
2004,Kasaragodu,116,3905,38,Alluvial,Drip,316,53.5,Coconut,216396,Kharif,Y1,High
2004,Kasaragodu,7520,3905,38,Alluvial,Drip,21400,52.5,Coconut,2644,Kharif,Y1,High
2004,Kasaragodu,38232,3905,38,Alluvial,Drip,122102,56,Coconut,44235,Kharif,Y1,High
2004,Kasaragodu,128,4019.4,39,Alluvial,Drip,382,57,Coconut,203317,Kharif,Y1,High
2004,Kasaragodu,7276,4019.4,39,Alluvial,Drip,19578,57.5,Coconut,2134,Kharif,Y1,High
2004,Kasaragodu,38062,4019.4,39,Alluvial,Drip,121037,57,Coconut,45186,Kharif,Y1,High
2004,Kasaragodu,89,3415.5,42,Red,Drip,291,50,Coconut,249978,Kharif,Y1,High
2004,Kasaragodu,5528,3415.5,42,Red,Drip,17231,54,Coconut,637,Kharif,Y1,High
2004,Kasaragodu,34841,3415.5,42,Red,Drip,119359,53,Coconut,43311,Kharif,Y1,High
2004,Raichur,3250,3193.41,27,Red,Basin,7157,57,Coconut,45608,Kharif,Y1,High
2004,Raichur,3950,3193.41,27,Red,Basin,8700,57,Coconut,234581,Kharif,Y1,High
2004,Raichur,3993,3193.41,27,Red,Basin,41266,60,Coconut,646,Rabi,Y1,High
2004,Raichur,4013,3296.26,27,Red,Basin,8838,57,Coconut,43562,Rabi,Y1,High
2004,Raichur,4065,3296.26,27,Red,Basin,8954,57,Coconut,200000,Rabi,Y1,High
2004,Raichur,4153,3296.26,27,Red,Basin,42915,54,Coconut,4847,Rabi,Y1,High
2004,Raichur,4191,3875.08,27.2,Red,Basin,9230,54.5,Coconut,51239,Rabi,Y1,High
2004,Raichur,4289,3875.08,27.2,Red,Basin,44313,56.6,Coconut,216396,Rabi,Y1,High
2004,Raichur,4434,3875.08,27.2,Red,Basin,45820,55.5,Coconut,2644,Rabi,Y1,High
2004,Raichur,4750,4102.78,27,Red,Basin,49084,58.5,Coconut,44235,Rabi,Y1,High
2004,Raichur,5693,4102.78,27,Red,Basin,86311,59.5,Coconut,203317,Rabi,Y1,High
2004,Raichur,5997,4102.78,27,Red,Basin,57642,55,Coconut,2134,Rabi,Y1,High
2004,Raichur,6076,3020.82,27,Red,Basin,58405,53,Coconut,45186,Rabi,Y1,High
2004,Raichur,6249,3020.82,27,Red,Basin,60751,53.5,Coconut,238542,Rabi,Y1,High
2004,Raichur,6363,3020.82,27,Red,Basin,109506,52.5,Coconut,1516,Rabi,Y1,High
2004,Raichur,26,3696,27.2,Red,Basin,114,56,Coconut,57259,Rabi,Y1,High
2004,Raichur,1,3696,27.2,Red,Basin,3,57,Coconut,234779,Rabi,Y1,High
2004,Raichur,24,3696,27.2,Red,Basin,95,57.5,Coconut,1493,Rabi,Y1,High
2004,Gulbarga,5,3965.94,27.1,Red,Basin,19,57,Coconut,64409,Rabi,Y1,High
2004,Gulbarga,13,3965.94,27.1,Red,Basin,54,55,Coconut,249978,Rabi,Y1,High
2004,Gulbarga,4,3965.94,27.1,Red,Basin,13,56,Coconut,200000,Rabi,Y1,High
2004,Gulbarga,32,3863.64,26.8,Red,Basin,123,54,Coconut,4847,Rabi,Y1,High
2004,Gulbarga,5,3863.64,26.8,Red,Basin,19,58,Coconut,51239,Rabi,Y1,High
2004,Gulbarga,10,3863.64,26.8,Red,Basin,32,58,Coconut,216396,Rabi,Y1,High
2004,Gulbarga,3,3625.6,37,Red,Basin,8,59,Coconut,2644,Rabi,Y1,High
2004,Gulbarga,14,3625.6,37,Black,Basin,50,50,Coconut,44235,Rabi,Y1,High
2004,Gulbarga,3,3625.6,37,Black,Basin,10,54,Coconut,203317,Rabi,Y1,High
2004,Gulbarga,7,3905,38,Black,Basin,29,53,Coconut,2134,Rabi,Y1,High
2004,Gulbarga,17,3905,38,Black,Basin,44,52,Coconut,45186,Rabi,Y1,High
2004,Gulbarga,9,3905,38,Black,Basin,33,51,Coconut,238542,Rabi,Y1,High
2004,Gulbarga,4,4019.4,39,Black,Basin,14,57,Coconut,1516,Rabi,Y1,High
2004,Gulbarga,13,4019.4,39,Black,Basin,56,57,Coconut,57259,Rabi,Y1,High
2004,Gulbarga,6,4019.4,39,Black,Basin,26,60,Coconut,234779,Rabi,Y1,High
2004,Gulbarga,11716,3415.5,42,Black,Basin,623687,58.5,Coconut,761,Zaid,Y1,High
2004,Gulbarga,12049,3415.5,42,Black,Basin,63504,59.5,Coconut,45608,Zaid,Y1,High
2004,Gulbarga,12130,3415.5,42,Black,Basin,63931,55,Coconut,234581,Zaid,Y1,High
2004,Gulbarga,12243,3193.41,27,Black,Spray,118416,53.5,Coconut,43562,Zaid,Y1,High
2004,Gulbarga,13142,3193.41,27,Black,Spray,130132,52.5,Coconut,200000,Zaid,Y1,High
2004,Gulbarga,13847,3193.41,27,Black,Spray,154889,56,Coconut,4847,Zaid,Y1,High
2004,Gulbarga,14185,3296.26,27,Black,Spray,171739,57,Coconut,51239,Zaid,Y1,High
2004,Gulbarga,14245,3296.26,27,Black,Spray,172475,57.5,Coconut,216396,Zaid,Y1,High
2004,Gulbarga,14395,3296.26,27,Black,Spray,177939,57,Coconut,2644,Zaid,Y1,High
2004,Gulbarga,14439,3875.08,27.2,Black,Spray,313547,55,Coconut,44235,Zaid,Y1,High
2004,Gulbarga,2549,3875.08,27.2,Black,Spray,2783,56,Coconut,203317,Zaid,Y1,High
2004,Gulbarga,2088,3875.08,27.2,Black,Spray,1533,54,Coconut,2134,Zaid,Y1,High
2004,Gulbarga,1289,4102.78,27,Black,Spray,1647,58,Coconut,45186,Zaid,Y1,High
2004,Gulbarga,1051,4102.78,27,Black,Spray,975,58,Coconut,238542,Zaid,Y1,High
2004,Gulbarga,4,4102.78,27,Black,Spray,2,59,Coconut,1516,Zaid,Y1,High
2004,Gulbarga,909,3020.82,27,Black,Spray,836,50,Coconut,57259,Zaid,Y1,High
2004,Gulbarga,743,3020.82,27,Loam,Spray,806,54,Coconut,234779,Zaid,Y1,High
2004,Gulbarga,663,3020.82,27,Loam,Spray,880,53,Coconut,1493,Zaid,Y1,High
2004,Gulbarga,501,3696,27.2,Loam,Spray,770,52,Coconut,64409,Zaid,Y1,High
2004,Gulbarga,317,3696,27.2,Loam,Spray,395,51,Coconut,249978,Zaid,Y1,High
2004,Gulbarga,171,3696,27.2,Loam,Spray,187,57,Coconut,637,Zaid,Y1,High
2004,Gulbarga,124,3965.94,27.1,Loam,Spray,187,57,Coconut,43311,Zaid,Y1,High
2004,Gulbarga,90,3965.94,27.1,Loam,Spray,121,60,Coconut,24848,Zaid,Y1,High
2004,Gulbarga,61,3965.94,27.1,Loam,Spray,103,57,Coconut,761,Zaid,Y1,High
2004,Gulbarga,43,3863.64,26.8,Loam,Spray,71,57,Coconut,45608,Zaid,Y1,High
2004,Gulbarga,2177,3863.64,26.8,Loam,Spray,3961,54,Coconut,234581,Zaid,Y1,High
2004,Gulbarga,1872,3863.64,26.8,Loam,Spray,4247,54.5,Coconut,646,Zaid,Y1,High
2004,Gulbarga,1772,3625.6,37,Loam,Spray,3290,56.6,Coconut,43562,Zaid,Y1,High
2004,Gulbarga,1618,3625.6,37,Loam,Spray,3138,55.5,Coconut,200000,Zaid,Y1,High
2004,Gulbarga,1625,3625.6,37,Loam,Spray,3423,58.5,Coconut,4847,Zaid,Y1,High
2004,Gulbarga,1648,3905,38,Loam,Spray,3899,59.5,Coconut,51239,Zaid,Y1,High
2004,Gulbarga,1649,3905,38,Loam,Spray,4015,55,Coconut,216396,Zaid,Y1,High
2004,Gulbarga,1680,3905,38,Loam,Spray,4279,53,Coconut,2644,Zaid,Y1,High
2004,Gulbarga,1723,4019.4,39,Loam,Spray,4167,53.5,Coconut,44235,Zaid,Y1,High
2004,Gulbarga,1693,4019.4,39,Loam,Spray,4479,52.5,Coconut,203317,Zaid,Y1,High
2004,Gulbarga,1668,4019.4,39,Loam,Spray,3699,56,Coconut,2134,Zaid,Y1,High
2004,Gulbarga,329,3415.5,42,Red,Spray,71,58,Coconut,216396,Zaid,Y1,High
2004,Gulbarga,143,3415.5,42,Red,Spray,52,58,Coconut,2644,Zaid,Y1,High
2004,Gulbarga,41,3415.5,42,Red,Spray,12,59,Coconut,44235,Zaid,Y1,High
2006,Gulbarga,4839,3193.41,136,Red,Drip,2089,54,Coffee,637,Zaid,Y1,High
2007,Gulbarga,5371,3193.41,137,Red,Drip,2810,54.5,Coffee,43311,Zaid,Y1,High
2008,Gulbarga,5432,3193.41,138,Red,Drip,841,56.6,Coffee,24848,Zaid,Y1,High
2009,Gulbarga,4759,3296.26,139,Red,Drip,3550,55.5,Coffee,761,Zaid,Y1,High
2004,Gulbarga,2858,3020.82,149,Black,Drip,1871,57,Cardamum,44235,Zaid,Y1,High
2005,Gulbarga,2956,3020.82,150,Black,Drip,1868,55,Cardamum,203317,Zaid,Y1,High
2006,Gulbarga,1113,3696,151,Black,Drip,127919,56,Cardamum,2134,Zaid,Y1,High
2007,Gulbarga,756,3696,152,Black,Drip,75340,54,Cardamum,45186,Zaid,Y1,High
2008,Gulbarga,280,3696,153,Black,Drip,29170,58,Cardamum,238542,Zaid,Y1,High
2009,Gulbarga,23,3965.94,154,Black,Drip,1901,58,Cardamum,1516,Zaid,Y1,High
2004,Madikeri,34,3905,164,Black,Drip,3830,57,Pepper,45608,Kharif,Y1,High
2005,Madikeri,41455,3905,165,Black,Drip,4,57,Pepper,234581,Kharif,Y1,High
2006,Madikeri,379,4019.4,166,Black,Drip,9,54,Pepper,646,Kharif,Y1,High
2007,Madikeri,9591,4019.4,167,Black,Drip,12,54.5,Pepper,43562,Kharif,Y1,High
2008,Madikeri,41290,4019.4,168,Black,Drip,2089,56.6,Pepper,200000,Kharif,Y1,High
2005,Madikeri,41596,3193.41,180,Alluvial,Basin,1939,55,Arecanut,4847,Kharif,Y1,High
2006,Madikeri,115,3193.41,181,Alluvial,Basin,1871,56,Arecanut,51239,Kharif,Y1,High
2007,Madikeri,8510,3193.41,182,Alluvial,Basin,1868,54,Arecanut,216396,Kharif,Y1,High
2008,Madikeri,41342,3296.26,183,Alluvial,Basin,127919,58,Arecanut,2644,Kharif,Y1,High
2009,Madikeri,125,3296.26,184,Alluvial,Basin,75340,58,Arecanut,44235,Kharif,Y1,High
2004,Hassan,6674,3296.26,194,Alluvial,Basin,5518,57,Ginger,249978,Kharif,Y1,High
2005,Hassan,36096,3875.08,195,Alluvial,Basin,4912,57,Ginger,637,Kharif,Y1,High
2006,Hassan,77,3875.08,196,Alluvial,Basin,3830,54,Ginger,43311,Kharif,Y1,High
2007,Hassan,5629,3875.08,197,Sandy loam ,Basin,4,54.5,Ginger,24848,Kharif,Y1,High
2008,Hassan,36177,4102.78,198,Sandy loam ,Basin,9,56.6,Ginger,761,Kharif,Y1,High
2009,Hassan,89,4102.78,199,Sandy loam ,Basin,12,55.5,Ginger,45608,Kharif,Y1,High
2004,Hassan,4153,3965.94,209,Sandy loam ,Basin,2331,57,Tea,203317,Kharif,Y1,High
2005,Hassan,4191,3863.64,210,Sandy loam ,Basin,2088,55,Tea,2134,Kharif,Y1,High
2006,Hassan,4289,3863.64,211,Sandy loam ,Basin,2628,56,Tea,45186,Kharif,Y1,High
2007,Hassan,4434,3863.64,212,Sandy loam ,Basin,1939,54,Tea,238542,Kharif,Y1,High
2008,Hassan,4750,3625.6,213,Sandy loam ,Basin,1871,58,Tea,1516,Kharif,Y1,High
2009,Hassan,5693,3625.6,214,Sandy loam ,Basin,1868,58,Tea,57259,Kharif,Y1,High
2008,Hassan,3,3415.5,27.2,Red laterite,Spray,3830,56.6,Paddy,4847,Kharif,Y1,High
2009,Hassan,14,3415.5,27.2,Red laterite,Spray,313547,55.5,Paddy,51239,Kharif,Y1,High
2004,Hassan,11126,3875.08,27.2,Red laterite,Spray,395,57,Groundnut,4847,Kharif,Y1,High
2005,Hassan,11343,3875.08,27.1,Red laterite,Spray,187,55,Groundnut,51239,Kharif,Y1,High
2006,Hassan,11485,3875.08,27.1,Red laterite,Spray,187,56,Groundnut,216396,Kharif,Y1,High
2007,Hassan,11598,3193.41,27.1,Red laterite,Spray,121,54,Groundnut,2644,Kharif,Y1,High
2008,Hassan,11716,3193.41,26.8,Red laterite,Spray,103,58,Groundnut,44235,Kharif,Y1,High
2009,Hassan,12049,3193.41,26.8,Red laterite,Spray,71,58,Groundnut,203317,Kharif,Y1,High
2014,Gulbarga,197,4019.4,129,Red,Drip,62,52,Cocoa,238542,Zaid,Y2,High
2010,Gulbarga,264,3296.26,140,Red,Drip,109,58.5,Coffee,45608,Zaid,Y2,High
2011,Gulbarga,5241,3296.26,141,Red,Drip,3368,59.5,Coffee,234581,Zaid,Y2,High
2012,Gulbarga,5434,3875.08,142,Red,Drip,3671,55,Coffee,646,Zaid,Y2,High
2013,Gulbarga,5010,3875.08,143,Red,Drip,2404,53,Coffee,43562,Zaid,Y2,High
2014,Gulbarga,5268,3875.08,144,Red,Drip,2805,53.5,Coffee,200000,Zaid,Y2,High
2015,Gulbarga,4228,4102.78,145,Red,Drip,2331,52.5,Coffee,4847,Zaid,Y2,High
2010,Gulbarga,9,3965.94,155,Black,Drip,972,59,Cardamum,57259,Kharif,Y2,High
2011,Gulbarga,8,3965.94,156,Black,Drip,874,50,Cardamum,234779,Kharif,Y2,High
2012,Gulbarga,5,3863.64,157,Black,Drip,592,54,Cardamum,1493,Kharif,Y2,High
2013,Gulbarga,8,3863.64,158,Black,Drip,864,53,Cardamum,64409,Kharif,Y2,High
2014,Gulbarga,45,3863.64,159,Black,Drip,5373,52,Cardamum,249978,Kharif,Y2,High
2015,Gulbarga,55,3625.6,160,Black,Drip,6589,51,Cardamum,637,Kharif,Y2,High
2015,Madikeri,118,3415.5,175,Alluvial,Basin,2404,52.5,Pepper,2134,Kharif,Y2,High
2010,Madikeri,8357,3296.26,185,Alluvial,Basin,29170,59,Arecanut,203317,Kharif,Y2,High
2011,Madikeri,38948,3875.08,186,Alluvial,Basin,1901,50,Arecanut,2134,Kharif,Y2,High
2012,Madikeri,116,3875.08,187,Alluvial,Basin,972,54,Arecanut,45186,Kharif,Y2,High
2013,Madikeri,7520,3875.08,188,Alluvial,Basin,874,53,Arecanut,238542,Kharif,Y2,High
2014,Madikeri,38232,3193.41,189,Alluvial,Basin,592,52,Arecanut,1516,Kharif,Y2,High
2015,Madikeri,128,3193.41,190,Alluvial,Basin,864,51,Arecanut,57259,Kharif,Y2,High
2010,Hassan,5528,4102.78,200,Sandy loam ,Basin,2089,58.5,Ginger,234581,Kharif,Y2,High
2011,Hassan,34841,3020.82,201,Sandy loam ,Basin,2810,59.5,Ginger,646,Kharif,Y2,High
2012,Hassan,77,3020.82,202,Sandy loam ,Basin,841,55,Ginger,43562,Kharif,Y2,High
2013,Hassan,5217,3020.82,203,Sandy loam ,Basin,3550,53,Ginger,200000,Kharif,Y2,High
2014,Hassan,3250,3696,204,Sandy loam ,Basin,109,53.5,Ginger,4847,Kharif,Y2,High
2015,Hassan,3950,3696,205,Sandy loam ,Basin,3368,52.5,Ginger,51239,Kharif,Y2,High
2010,Hassan,5997,3625.6,215,Sandy loam ,Spray,127919,59,Tea,234779,Kharif,Y2,High
2011,Hassan,6076,3905,216,Sandy loam ,Spray,75340,50,Tea,1493,Kharif,Y2,High
2012,Hassan,6249,3905,217,Sandy loam ,Spray,29170,54,Tea,64409,Kharif,Y2,High
2013,Hassan,6363,3905,218,Sandy loam ,Spray,1901,53,Tea,249978,Kharif,Y2,High
2014,Hassan,26,4019.4,219,Sandy loam ,Spray,972,52,Tea,637,Kharif,Y2,High
2015,Hassan,1,4019.4,220,Sandy loam ,Spray,874,51,Tea,43311,Kharif,Y2,High
2010,Hassan,3,3415.5,27.2,Red laterite,Spray,2783,58.5,Paddy,216396,Kharif,Y2,High
2013,Hassan,9,3193.41,27,Red laterite,Spray,975,53,Paddy,203317,Kharif,Y2,High
2014,Hassan,4,3193.41,27,Red laterite,Spray,2,53.5,Paddy,2134,Kharif,Y2,High
2015,Hassan,13,3193.41,27,Red laterite,Spray,836,52.5,Paddy,45186,Kharif,Y2,High
2010,Hassan,12130,3296.26,26.8,Red laterite,Spray,3961,59,Groundnut,2134,Kharif,Y2,High
2011,Hassan,12157,3296.26,37,Red laterite,Spray,4247,50,Groundnut,45186,Kharif,Y2,High
2012,Hassan,12243,3296.26,37,Black cotton,Spray,3290,54,Groundnut,238542,Kharif,Y2,High
2013,Hassan,13142,3875.08,37,Black cotton,Spray,3138,53,Groundnut,1516,Kharif,Y2,High
2014,Hassan,13847,3875.08,38,Black cotton,Spray,3423,52,Groundnut,57259,Kharif,Y2,High
2015,Hassan,14185,3875.08,38,Black cotton,Spray,3899,51,Groundnut,234779,Kharif,Y2,High
2017,Gulbarga,60,3415.5,132,Red,Drip,25,57,Cocoa,234779,Zaid,Y3,High
2016,Gulbarga,3788,4102.78,146,Red,Drip,2088,56,Coffee,51239,Zaid,Y3,High
2017,Gulbarga,3891,4102.78,147,Black,Drip,2628,57,Coffee,216396,Zaid,Y3,High
2018,Gulbarga,3029,3020.82,148,Black,Drip,1939,57.5,Coffee,2644,Zaid,Y3,High
2016,Gulbarga,45,3625.6,161,Black,Drip,5107,57,Cardamum,43311,Kharif,Y3,High
2017,Gulbarga,53,3625.6,162,Black,Drip,5518,57,Cardamum,24848,Kharif,Y3,High
2018,Gulbarga,45,3905,163,Black,Drip,4912,60,Cardamum,761,Kharif,Y3,High
2016,Madikeri,8837,3415.5,176,Alluvial,Basin,2805,56,Pepper,45186,Kharif,Y3,High
2017,Madikeri,41598,3415.5,177,Alluvial,Basin,2331,57,Pepper,238542,Kharif,Y3,High
2016,Madikeri,7276,3193.41,191,Alluvial,Basin,5373,57,Arecanut,234779,Kharif,Y3,High
2017,Hassan,38062,3296.26,192,Alluvial,Basin,6589,57,Arecanut,1493,Kharif,Y3,High
2018,Hassan,84,3296.26,193,Alluvial,Basin,5107,60,Arecanut,64409,Kharif,Y3,High
2016,Hassan,3993,3696,206,Sandy loam ,Basin,3671,56,Ginger,216396,Kharif,Y3,High
2017,Hassan,4013,3965.94,207,Sandy loam ,Basin,2404,57,Ginger,2644,Kharif,Y3,High
2018,Hassan,4065,3965.94,208,Sandy loam ,Basin,2805,57.5,Ginger,44235,Kharif,Y3,High
2016,Hassan,24,4019.4,221,Sandy loam ,Spray,592,57,Tea,24848,Kharif,Y3,High
2016,Hassan,6,3296.26,27,Red laterite,Spray,806,56,Paddy,238542,Kharif,Y3,High
2017,Hassan,23,3296.26,27.2,Red laterite,Spray,880,57,Paddy,1516,Kharif,Y3,High
2018,Hassan,1,3296.26,27.2,Red laterite,Spray,770,57.5,Paddy,200000,Kharif,Y3,High
2016,Hassan,14245,4102.78,38,Black cotton,Spray,4015,57,Groundnut,1493,Kharif,Y3,High
2017,Hassan,14395,4102.78,39,Black cotton,Spray,4279,57,Groundnut,64409,Kharif,Y3,High
2004,Hassan,1189,259.6,27.1,Sandy,Drip,3423,53,Coconut,646,Kharif,Y1,Low
2005,Hassan,460,259.6,27.1,Sandy,Drip,3899,59.5,Coconut,43562,Kharif,Y1,Low
2004,Kodagu,8847,256.3,39,Laterite,Drip,19578,57.5,Coconut,2134,Kharif,Y1,Low
2005,Kodagu,41626,256.3,39,Laterite,Drip,121037,57,Coconut,45186,Kharif,Y1,Low
2006,Kodagu,143,256.3,40,Laterite,Drip,231,55,Coconut,238542,Kharif,Y1,Low
2007,Kodagu,8686,257.4,40,Laterite,Drip,18951,56,Coconut,1516,Kharif,Y1,Low
2008,Kodagu,41884,257.4,40,Laterite,Drip,110579,54,Coconut,57259,Kharif,Y1,Low
2009,Kodagu,118,257.4,41,Laterite,Drip,221,58,Coconut,234779,Kharif,Y1,Low
2004,Mysuru,8686,256.3,27,Alluvial,Basin,57642,55,Coconut,2134,Kharif,Y1,Low
2005,Mysuru,41884,256.3,27,Alluvial,Basin,58405,53,Coconut,45186,Kharif,Y1,Low
